Product_type,Brand,Size,fabric,fabric_cost_per_kg/meter/hide,fabric_raw_cost,manufacturing,transportation,tax,brand_value,retailer_margin,selling_price
Formal Shirt,"Schneider, Carter and Taylor (mid_range)",XL,cotton,426,319.13,172.99,23.59,215.32,293.65,984.93,2009.61
Formal Shirt,Johnson & Co. (premium),L,cotton,864,1318.0,706.1,85.22,1213.07,1785.75,6213.82,11321.95
Formal Shirt,Williams and Sons (mid_range),XL,cotton,304,195.48,110.08,11.57,129.34,203.45,557.22,1207.14
Vintage Formal Shirt,Sanders Group (mid_range),XL,cotton,384,260.83,156.45,14.85,174.41,289.69,731.64,1627.87
Formal Shirt,Horton & Co. (premium),XXXL,cotton,710,1735.72,992.26,126.37,1656.66,2183.67,8767.45,15462.14
Formal Shirt,Flores & Co. (premium),L,cotton,691,929.14,599.91,47.73,702.55,866.63,3411.17,6557.12
Contemporary Formal Shirt,Chandler Couture (luxury),XXXL,cotton,1105,4749.48,2988.58,300.23,7020.6,11199.8,39266.91,65525.61
Formal Shirt,Wang Couture (luxury),XL,cotton,1066,2925.53,1553.51,150.98,4713.64,6754.68,27895.6,43993.93
Formal Shirt,Gonzales-Hahn Basics (budget),M,cotton,237,77.68,49.59,5.69,13.64,29.21,110.55,286.35
Traditional Formal Shirt,Kim-Shepherd Basics (budget),XXL,cotton,212,123.04,79.35,9.65,19.59,42.03,137.76,411.42
Formal Shirt,"Raymond, Key and Wood (mid_range)",M,cotton,441,201.76,103.26,13.68,49.52,180.7,491.08,1040.02
Classic Formal Shirt,Lara & Co. (premium),XXXL,cotton,719,1819.9,1234.11,127.09,1725.33,2657.42,8539.25,16103.11
Formal Shirt,"Brown, Jensen and Dickson (mid_range)",XXXL,cotton,368,392.04,203.29,23.22,267.59,440.84,1170.54,2497.52
Formal Shirt,Davis Inc Basics (budget),S,cotton,178,49.36,34.84,3.2,7.77,15.6,52.32,163.09
Formal Shirt,Moore and Sons (mid_range),L,cotton,306,168.59,121.61,11.34,137.8,206.59,640.17,1286.11
Formal Shirt,Barrett PLC (mid_range),L,cotton,495,312.22,191.53,24.19,200.21,262.5,877.96,1868.62
Contemporary Formal Shirt,Taylor Inc (mid_range),XL,cotton,389,267.31,151.61,14.66,171.86,255.5,743.07,1604.0
Vintage Formal Shirt,"Barrera, Castro and Case (mid_range)",XL,cotton,309,214.35,122.61,16.96,139.62,204.08,605.55,1303.16
Contemporary Formal Shirt,Evans Couture (luxury),XXXL,cotton,1423,5184.51,3227.26,336.76,8337.19,14095.93,46632.15,77813.8
Contemporary Formal Shirt,Miles Inc Basics (budget),M,cotton,229,76.1,39.7,5.63,12.11,33.63,87.17,254.35
Formal Shirt,"Lopez, Miller and Holmes Basics (budget)",XL,cotton,247,124.79,74.34,9.35,21.23,49.87,166.21,445.79
Formal Shirt,Williams Ltd (mid_range),L,cotton,423,278.18,156.86,17.11,197.21,336.85,854.46,1840.67
Formal Shirt,Morris & Co. (premium),S,cotton,812,733.6,488.82,36.74,717.02,979.81,3736.24,6692.22
Formal Shirt,Moore-George (mid_range),XXXL,cotton,338,334.39,202.9,24.37,234.9,313.86,1081.99,2192.41
Formal Shirt,Moran & Co. (premium),XXXL,cotton,796,1758.36,1154.43,127.2,1710.24,2326.55,8885.41,15962.19
Casual Formal Shirt,Johnston-Williams Basics (budget),XXXL,cotton,159,105.9,55.08,7.17,18.28,50.19,147.35,383.98
Classic Formal Shirt,"Hall, Floyd and Brown (mid_range)",XXL,cotton,484,382.12,270.11,19.96,265.34,435.91,1103.02,2476.47
Formal Shirt,Short PLC (mid_range),XL,cotton,518,350.17,228.24,27.53,260.56,372.37,1193.03,2431.9
Formal Shirt,"Gonzalez, White and Leonard (mid_range)",XXL,cotton,317,255.16,164.84,14.5,172.26,202.9,798.14,1607.8
Contemporary Formal Shirt,Garrett & Co. (premium),XXXL,cotton,685,1660.35,1132.77,122.67,1375.4,1786.57,6759.28,12837.04
Formal Shirt,"Walker, Robinson and Davis Basics (budget)",XXL,cotton,227,136.16,73.0,10.37,21.46,57.72,151.98,450.68
Formal Shirt,Miller Couture (luxury),M,cotton,1653,3143.33,1732.99,233.04,6663.21,10566.91,39850.49,62189.98
Vintage Formal Shirt,Reid-Mckenzie Basics (budget),XL,cotton,178,85.37,50.56,6.43,13.51,29.01,98.88,283.77
Formal Shirt,Parker PLC (mid_range),M,cotton,391,198.43,140.65,15.74,136.47,214.12,568.27,1273.68
Classic Formal Shirt,Miranda PLC (mid_range),XXXL,cotton,533,544.34,341.0,31.89,392.25,625.68,1725.82,3660.98
Formal Shirt,Ramsey-Hamilton Basics (budget),XXXL,cotton,172,118.74,79.01,8.92,21.62,50.54,175.09,453.93
Classic Formal Shirt,"Smith, Harrison and Coffey (mid_range)",L,cotton,448,261.53,143.9,15.64,158.94,250.49,652.95,1483.45
Formal Shirt,Cardenas & Co. (premium),L,cotton,739,1102.98,633.26,71.09,1049.44,1526.41,5411.59,9794.77
Formal Shirt,Rodriguez Group Basics (budget),S,cotton,149,36.88,26.67,2.65,7.15,18.29,58.58,150.22
Formal Shirt,Martinez & Co. (premium),L,cotton,802,1013.65,629.6,71.14,926.07,1321.19,4681.71,8643.36
Formal Shirt,Garcia & Co. (premium),L,cotton,719,1000.86,653.89,59.89,920.95,1267.14,4692.8,8595.52
Traditional Formal Shirt,Cole Ltd (mid_range),XL,cotton,466,320.22,177.06,18.93,193.94,319.04,780.95,1810.14
Formal Shirt,Sanchez & Co. (premium),M,cotton,789,951.89,646.62,59.56,820.7,1280.63,3900.43,7659.83
Vintage Formal Shirt,Simon Group (mid_range),S,cotton,404,175.79,101.1,9.94,45.43,170.93,450.89,954.08
Formal Shirt,Maxwell-Pruitt Basics (budget),XXXL,cotton,222,143.82,84.15,7.72,24.12,67.54,179.19,506.53
Formal Shirt,Mcknight-Terrell (mid_range),XXXL,cotton,548,495.54,329.72,26.65,314.91,511.54,1260.78,2939.13
Formal Shirt,Guzman & Co. (premium),M,cotton,719,810.07,448.26,40.57,681.43,1146.29,3233.38,6359.99
Classic Formal Shirt,Watson and Sons Basics (budget),L,cotton,224,96.17,51.53,7.08,14.65,40.18,98.09,307.69
Vintage Formal Shirt,"Avery, Riggs and Atkins Basics (budget)",M,cotton,154,53.86,33.3,3.52,8.65,17.33,64.89,181.55
Formal Formal Shirt,Thornton Couture (luxury),S,cotton,1674,2689.89,1668.07,139.4,4762.7,7452.54,27739.24,44451.85
Contemporary Formal Shirt,Miller Inc (mid_range),XL,cotton,318,240.38,136.68,12.93,163.45,255.32,716.76,1525.5
Vintage Formal Shirt,Wilson & Co. (premium),XL,cotton,750,1213.66,757.52,86.23,1165.36,1713.29,5940.6,10876.68
Contemporary Formal Shirt,Johnson & Co. (premium),XXXL,cotton,831,2089.5,1268.06,129.47,1814.03,2795.27,8834.63,16930.97
Formal Shirt,"Davis, Johnson and West Basics (budget)",L,cotton,159,65.98,39.43,3.47,11.08,25.49,87.19,232.63
Formal Shirt,"Butler, Tucker and Beltran Basics (budget)",M,cotton,215,78.21,49.5,4.87,14.33,37.13,116.8,300.84
Formal Shirt,Hull-Davis (mid_range),XXXL,cotton,373,380.49,223.28,21.45,246.13,410.31,1015.57,2297.23
Formal Shirt,"Scott, Hall and Macdonald Basics (budget)",XXL,cotton,237,128.35,71.48,8.58,21.65,58.21,166.46,454.74
Formal Shirt,"Blanchard, Robinson and Nash (mid_range)",XXL,cotton,537,470.86,301.17,27.4,356.74,532.64,1640.78,3329.59
Vintage Formal Shirt,Walker PLC Basics (budget),M,cotton,224,73.19,39.89,3.73,11.55,32.88,81.28,242.51
Formal Shirt,Zamora LLC (mid_range),L,cotton,379,237.48,160.05,12.48,139.56,184.36,568.61,1302.53
Formal Shirt,"Carpenter, Garcia and Harris (mid_range)",XXXL,cotton,413,426.38,260.23,24.81,277.67,480.73,1121.78,2591.6
Formal Shirt,Jensen-Ortega (mid_range),L,cotton,451,269.88,171.34,16.69,169.24,283.28,669.12,1579.54
Formal Formal Shirt,"Rodriguez, Smith and Dennis Basics (budget)",M,cotton,172,54.92,29.49,3.46,8.5,17.89,64.15,178.4
Formal Formal Shirt,Smith Inc Basics (budget),XXL,cotton,185,95.86,64.59,4.85,17.7,46.42,142.36,371.78
Formal Shirt,Lyons Inc (mid_range),XXL,cotton,463,387.07,202.66,23.12,269.54,445.39,1187.91,2515.7
Formal Shirt,Williams & Co. (premium),L,cotton,654,868.6,550.65,53.74,701.66,943.44,3430.74,6548.84
Formal Shirt,Johnson Group Basics (budget),M,cotton,221,67.98,42.78,4.11,12.08,30.28,96.35,253.58
Formal Shirt,Soto & Co. (premium),M,cotton,731,801.2,516.02,55.82,689.46,806.24,3566.21,6434.95
Contemporary Formal Shirt,King Ltd (mid_range),XXL,cotton,474,437.08,276.39,30.04,321.47,516.68,1418.73,3000.39
Formal Shirt,Miller-Kirby Basics (budget),S,cotton,220,56.35,31.36,3.68,8.89,20.4,66.0,186.68
Formal Shirt,"Villa, Arnold and Cook Basics (budget)",L,cotton,250,109.55,58.44,6.74,18.63,45.58,152.2,391.13
Formal Shirt,Torres & Co. (premium),S,cotton,892,857.82,495.58,46.77,608.78,803.88,2869.12,5681.95
Classic Formal Shirt,Burton & Co. (premium),L,cotton,858,1236.31,650.04,98.57,1068.87,1501.42,5420.92,9976.13
Formal Shirt,"Cole, Mclean and Conner Basics (budget)",L,cotton,239,92.51,59.58,6.42,14.24,28.97,97.28,299.01
Formal Shirt,Roach-Pitts (mid_range),L,cotton,518,320.53,227.9,19.23,211.04,333.79,857.21,1969.71
Formal Shirt,Mendoza Inc Basics (budget),XXXL,cotton,190,117.27,75.58,7.83,19.65,50.27,141.96,412.55
Casual Formal Shirt,"Carlson, Ward and Cooper Basics (budget)",XXXL,cotton,227,163.82,87.82,10.69,24.37,49.74,175.31,511.75
Contemporary Formal Shirt,Carter Couture (luxury),L,cotton,1196,2713.41,1436.88,204.41,4529.74,6082.38,27310.72,42277.55
Formal Shirt,Miller & Co. (premium),XXL,cotton,772,1646.39,1057.36,89.94,1387.77,1660.4,7110.62,12952.49
Classic Formal Shirt,Conley Group (mid_range),M,cotton,405,197.0,133.0,13.46,148.04,221.87,668.32,1381.69
Formal Shirt,Pace PLC Basics (budget),M,cotton,243,85.61,58.85,6.02,14.76,35.45,109.35,310.03
Formal Shirt,Smith & Co. (premium),XL,cotton,814,1453.52,1002.86,78.71,1252.79,1526.2,6378.61,11692.69
Casual Formal Shirt,Peterson & Co. (premium),XXL,cotton,864,1833.95,1060.51,106.71,1574.87,2646.73,7475.98,14698.74
Traditional Formal Shirt,Morgan LLC (mid_range),M,cotton,538,243.53,127.48,13.9,168.17,303.75,712.75,1569.59
Casual Formal Shirt,Gregory LLC Basics (budget),S,cotton,182,51.36,27.48,3.85,8.04,22.56,55.55,168.84
Formal Shirt,Moore & Co. (premium),XL,cotton,640,944.77,516.97,73.89,806.75,1195.45,3991.82,7529.65
Formal Shirt,Mullins & Co. (premium),M,cotton,624,689.92,446.61,35.8,641.86,967.27,3209.21,5990.66
Formal Shirt,Griffith Inc (mid_range),XXXL,cotton,361,376.78,210.35,22.83,236.1,390.09,967.48,2203.64
Classic Formal Shirt,Garza-Skinner (mid_range),XXL,cotton,544,464.81,293.38,30.97,305.05,439.35,1313.58,2847.15
Formal Shirt,Wilson Group (mid_range),L,cotton,304,177.19,92.08,12.35,44.69,142.07,470.09,938.47
Formal Shirt,Pena & Co. (premium),M,cotton,879,992.39,649.67,70.0,952.66,1477.16,4749.59,8891.47
Formal Shirt,Curtis-Martinez Basics (budget),M,cotton,239,86.73,44.45,6.4,13.99,41.39,100.78,293.74
Vintage Formal Shirt,Moore PLC Basics (budget),XL,cotton,200,88.73,58.28,5.39,16.14,40.48,129.83,338.84
Contemporary Formal Shirt,Smith PLC Basics (budget),S,cotton,191,53.41,36.96,4.23,9.27,21.32,69.5,194.7
Formal Shirt,Kaiser Couture (luxury),XXL,cotton,1084,3852.99,2047.18,287.7,6730.8,11033.66,38868.45,62820.77
Formal Shirt,"Hernandez, Weber and Johnson Basics (budget)",XXXL,cotton,197,134.03,81.14,8.11,22.15,41.34,178.36,465.14
Formal Shirt,Williams PLC Basics (budget),XL,cotton,241,122.54,65.12,7.46,20.57,56.4,159.94,432.03
Casual Formal Shirt,Nunez Couture (luxury),M,cotton,1800,3555.48,1889.54,246.59,6749.55,9269.19,41285.43,62995.78
Formal Shirt,Rodriguez Ltd Basics (budget),M,cotton,187,60.74,40.78,4.0,10.48,23.06,80.99,220.04
Formal Shirt,"Martinez, Grant and Allen Basics (budget)",S,cotton,163,43.46,25.8,2.51,6.92,15.3,51.31,145.29
Formal Shirt,Thompson Couture (luxury),L,cotton,1502,3388.64,1792.92,186.98,7232.09,10500.44,44398.41,67499.48
Formal Shirt,Lewis & Co. (premium),L,cotton,633,895.06,507.0,48.98,822.99,1186.62,4220.55,7681.2
Formal Shirt,Maldonado-Ruiz Basics (budget),L,cotton,155,68.02,45.31,4.41,11.55,25.31,87.9,242.5
Formal Shirt,"Koch, Evans and Rodriguez (mid_range)",XXL,cotton,526,410.1,241.93,29.35,286.5,415.37,1290.77,2674.02
Formal Shirt,Butler & Co. (premium),S,cotton,762,731.45,446.22,44.13,717.72,1043.61,3715.58,6698.71
Modern Formal Shirt,Fleming Inc (mid_range),M,cotton,410,205.12,143.92,13.44,128.66,185.03,524.68,1200.86
Formal Shirt,Morrison Couture (luxury),M,cotton,1531,3303.85,2238.6,228.14,5675.68,9485.95,32040.8,52973.02
Formal Shirt,Stevens-Oliver Basics (budget),XXL,cotton,222,117.46,81.48,8.19,21.02,52.17,161.03,441.35
Formal Shirt,Black & Co. (premium),XXL,cotton,614,1115.77,799.23,64.65,951.02,1145.32,4800.17,8876.15
Formal Shirt,Reed-Knapp (mid_range),S,cotton,460,185.68,118.44,10.65,129.89,214.21,553.41,1212.27
Formal Shirt,"Adams, Vasquez and Frost (mid_range)",XXXL,cotton,412,405.05,244.23,22.0,277.95,478.26,1166.72,2594.21
Modern Formal Shirt,Singleton Couture (luxury),L,cotton,1778,4156.71,2585.89,266.01,6637.53,10285.62,38018.53,61950.3
Formal Formal Shirt,Chung-Jensen Basics (budget),L,cotton,218,85.77,62.08,6.38,16.11,41.75,126.26,338.35
Formal Shirt,Cole-Tran Basics (budget),M,cotton,205,67.88,47.02,3.58,11.47,25.7,85.27,240.92
Formal Shirt,Evans and Sons Basics (budget),XXL,cotton,146,79.12,51.08,5.55,12.31,28.26,82.27,258.58
Casual Formal Shirt,Lang and Sons Basics (budget),M,cotton,186,65.27,38.16,4.38,10.46,22.12,79.35,219.75
Formal Shirt,"Roach, Horn and Ortiz Basics (budget)",XXL,cotton,210,113.76,82.08,6.09,20.39,56.31,149.47,428.1
Formal Shirt,Wood & Co. (premium),L,cotton,787,1157.98,641.01,75.27,820.18,1073.66,3886.89,7654.99
Formal Shirt,Myers-Gibson Basics (budget),XL,cotton,159,75.78,46.45,5.18,12.96,25.2,106.54,272.1
Formal Shirt,Vargas & Co. (premium),L,cotton,859,1281.56,804.77,75.6,1151.64,1780.66,5654.39,10748.62
Formal Shirt,"Logan, Edwards and Davis (mid_range)",XL,cotton,503,380.18,264.47,25.82,257.88,335.61,1142.92,2406.87
Formal Shirt,Johnson Couture (luxury),XXL,cotton,1738,5378.97,3290.39,385.33,10381.82,17129.06,60331.37,96896.94
Formal Shirt,Kelly & Co. (premium),M,cotton,656,718.0,431.18,44.8,578.62,734.04,2893.78,5400.41
Casual Formal Shirt,"Olson, Graham and Herrera (mid_range)",XL,cotton,486,310.42,165.48,18.55,208.09,335.6,904.06,1942.19
Formal Shirt,"Fowler, Ramirez and Estrada Basics (budget)",M,cotton,208,67.15,39.81,4.81,11.52,28.78,89.76,241.83
Traditional Formal Shirt,"Kane, Coleman and Morales (mid_range)",M,cotton,442,212.09,153.15,15.51,158.45,233.82,705.84,1478.87
Formal Shirt,Johnson-Flowers (mid_range),XL,cotton,539,410.09,268.03,27.56,299.93,418.94,1374.82,2799.38
Formal Formal Shirt,"Perkins, Christensen and Cantrell Basics (budget)",L,cotton,158,60.55,34.96,3.66,9.52,23.52,67.64,199.85
Traditional Formal Shirt,Martinez Ltd (mid_range),M,cotton,538,272.34,151.79,19.67,156.68,236.84,625.0,1462.31
Formal Shirt,Lucero Couture (luxury),M,cotton,1053,1937.6,1122.7,136.48,3457.21,4441.87,21171.4,32267.25
Formal Shirt,Brown Couture (luxury),M,cotton,1487,2960.59,1675.43,176.55,6129.22,8894.36,37369.89,57206.05
Formal Shirt,Kirk-Blankenship Basics (budget),XXL,cotton,234,138.52,99.55,7.65,23.93,66.0,166.82,502.47
Modern Formal Shirt,Ramirez Couture (luxury),XL,cotton,1766,5401.83,3863.63,271.59,9322.75,15639.09,52513.42,87012.32
Formal Shirt,Knight Couture (luxury),L,cotton,1656,4008.82,2513.06,302.79,6763.93,11045.21,38496.18,63129.99
Casual Formal Shirt,Taylor-Contreras Basics (budget),M,cotton,172,59.84,30.6,3.52,9.23,26.02,64.63,193.84
Formal Formal Shirt,Howard PLC (mid_range),XXXL,cotton,409,410.25,219.34,22.79,239.3,336.53,1005.22,2233.43
Formal Shirt,Greer-Davis Basics (budget),L,cotton,197,82.8,58.06,5.94,14.01,25.03,108.38,294.21
Formal Shirt,Morgan-Christian (mid_range),S,cotton,419,161.12,95.98,12.38,44.97,177.52,452.35,944.33
Formal Shirt,"Kennedy, Wood and Little Basics (budget)",L,cotton,168,63.43,33.66,4.59,10.16,26.71,74.87,213.43
Formal Formal Shirt,"Roberts, Harmon and Brown (mid_range)",XL,cotton,470,350.42,236.38,23.78,253.55,400.78,1101.57,2366.49
Formal Shirt,Davis Group (mid_range),L,cotton,444,245.74,170.99,13.78,160.05,250.24,652.99,1493.79
Formal Shirt,Morrison & Co. (premium),XL,cotton,705,1201.46,750.47,76.13,875.29,1121.42,4144.62,8169.38
Formal Shirt,Jensen-Johnson (mid_range),XXL,cotton,418,367.58,206.67,21.18,206.95,276.24,852.88,1931.49
Formal Shirt,Mason-Carroll Basics (budget),XL,cotton,148,69.64,37.25,5.54,10.89,27.47,77.98,228.77
Casual Formal Shirt,Tucker LLC Basics (budget),M,cotton,222,80.86,48.56,5.13,13.68,39.09,99.93,287.26
Modern Formal Shirt,Hill Ltd Basics (budget),XXXL,cotton,223,159.38,87.61,9.85,26.18,51.87,214.79,549.68
Contemporary Formal Shirt,Wilson & Co. (premium),S,cotton,878,807.03,470.07,51.5,599.2,801.44,2863.29,5592.54
Formal Shirt,Banks & Co. (premium),S,cotton,814,777.2,557.87,44.47,645.01,730.85,3264.71,6020.12
Classic Formal Shirt,"Jones, Gonzalez and Ferguson (mid_range)",XXXL,cotton,362,379.42,222.81,21.44,247.05,448.42,986.67,2305.81
Formal Shirt,Hoover LLC (mid_range),L,cotton,534,335.24,194.65,23.53,206.95,305.18,866.0,1931.54
Formal Shirt,Briggs Ltd Basics (budget),XXXL,cotton,192,122.89,65.93,9.39,20.92,59.27,160.98,439.39
Formal Shirt,Rich Group (mid_range),XL,cotton,388,295.59,194.85,17.61,185.51,283.22,754.64,1731.41
Formal Shirt,Anderson-Rodgers Basics (budget),XXL,cotton,248,132.81,89.83,8.49,21.56,41.37,158.74,452.81
Formal Shirt,Mahoney-Yu (mid_range),XXL,cotton,362,292.62,166.29,18.58,188.67,273.76,820.99,1760.92
Formal Shirt,Glass & Co. (premium),S,cotton,620,621.91,347.09,44.61,532.35,768.25,2654.42,4968.63
Formal Shirt,Smith & Co. (premium),L,cotton,607,800.82,446.82,57.98,776.04,1083.19,4078.22,7243.07
Formal Shirt,Taylor Inc (mid_range),XXXL,cotton,534,506.16,289.68,32.39,331.1,543.8,1387.16,3090.3
